Локация,Категория,Вопрос,Заполнено,Предлагаемые материалы
Алжир,Арабская Африка,Захват Алжира Францией. Выступления алжирцев против французских колонизаторов в XIX в. ,,
Египет,Арабская Африка,Египет в XVIII – начале ХIX в. и экспедиция Наполеона Бонапарта.,,
Египет,Арабская Африка,Реформы Мухаммеда Али в Египте и его внешняя политика.,,
Египет,Арабская Африка,Колониальная модернизация Египта в конце XIX – начале XX в.,,
Египет,Арабская Африка,Египет в эпоху Г.А. Насера (1952–1970 гг.) и А. Садата (1970–1981 гг.),,
Африка,Общеафриканские проблемы,Африканская работорговля и ее значение.,,
Африка,Общеафриканские проблемы,Африка накануне колониальных захватов.,,
Африка,Общеафриканские проблемы,Империалистический раздел Африки. Методы колониальной эксплуатации в Африке.,,
Африка,Общеафриканские проблемы,Основные этапы деколонизации африканского континента. Проблемы Африки в конце XX – начале XXI в.  ,,
Вьетнам,Юго-Восточная Азия,Борьба за объединение Вьетнама в 60–70-х годах XX в. ,,
Индия,Южная Азия,Европейские Ост-Индские компании и отличительные черты их деятельности.,,
Индия,Южная Азия,Раздел Британской Индии и его последствия для геополитической ситуации в Южной Азии.  ,,
Индия,Южная Азия,Индия в период колониальных завоеваний (вторая половина XVIII – начало ХIX в.). ,,
Индия,Южная Азия,"Сипайское восстание в Индии в 1857–1859 гг., его ход и значение.",,
Индия,Южная Азия,Просветительское движение в Индии XIX в. и образование Индийского национального конгресса. ,,
Индия,Южная Азия, Трансформация индийского общества и особенности становления капиталистических отношений в Индии во второй половине ХIX в.,,
Индия,Южная Азия,Особенности социально-политических движений протеста в Британской Индии в первой половине XX в. Роль М. К. Ганди. ,,
Индия,Южная Азия,Особенности политического развития Индии в период становления независимой государственности (50–70-е годы XX в.) ,,
Индия,Южная Азия,Основные тенденции политического развития Республики Индия (80-е годы XX – начало XXI в.),,
Индия,Южная Азия,Экономическая стратегия Индии в пост-биполярный период и экономические реформы (90-е годы XX – начало XXI в.). ,,
Япония,Юго-Восточная Азия,Социально-экономическая жизнь Японии в ХVII–XVIII вв. Самурайство и его роль в японском обществе в XVII и XVIII вв.,,
Япония,Юго-Восточная Азия,«Открытие» Японии и кризис токугавского сёгуната.,,
Япония,Юго-Восточная Азия,"«Революция Мэйдзи»: исторический смысл, ход событий и их значение. ",,
Япония,Юго-Восточная Азия,Милитаризация Японии в 30-х годах XX в. Агрессия в Китае.,,
Япония,Юго-Восточная Азия,Американская оккупация Японии (1945–1952 гг.). Складывание послевоенного японского политического устройства. ,,
Япония,Юго-Восточная Азия,Превращение Японии в мировую экономическую державу (60–80-е годы XX в.). Особенности японской модели развития. ,,
Китай,Восточная Азия, Русско-китайские отношения в XVII–XVIII вв.,,
Китай,Восточная Азия, Китай под маньчжурским владычеством в ХVII–XVIII вв.,,
Китай,Восточная Азия,Опиумные войны и их роль в «открытии» Китая.,,
Китай,Восточная Азия,"Движение тайпинов в Китае, их социально-экономическая и политическая программа, религиозные воззрения.",,
Китай,Восточная Азия,Тайные общества в Цинском Китае. Особенности их деятельности и роль в политической жизни.,,
Китай,Восточная Азия,Государственная организация Цинской империи. Феномен «шэньши».,,
Китай,Восточная Азия,Борьба империалистических держав за сферы влияния в Китае на рубеже XIX–XX вв.,,
Китай,Восточная Азия, Сунь Ятсен и его роль в политической истории Китая в ХХ в. ,,
Китай,Восточная Азия,Объединение Китая под властью Гоминьдана. Борьба Гоминьдана с КПК. Образование КНР (1949 г.) и становление новой власти.  ,,
Китай,Восточная Азия,Особенности режима власти Мао Цзэдуна. «Большой скачок». «Культурная революция». ,,
Китай,Восточная Азия, Причины и последствия советско-китайского раскола конца 50-х – начала 60-х годов XX в. ,,
Китай,Восточная Азия,Китай в эпоху рыночных реформ. Концепция «социализма с китайской спецификой» и ее реализация. ,,
Азия и Африка,Общие проблемы,Причины и последствия распада колониальной системы в Азии и Африке. Феномен неоколониализма. ,,
Азия и Африка,Общие проблемы,Традиционализм и фундаментализм в странах Азии и Африки в XX в.   ,,
Азия и Африка,Общие проблемы,Первая мировая война и ее влияние на судьбы народов Азии и Африки. ,,
Азия и Африка,Общие проблемы,Особенности функционирования колониальной системы в 20–30-х годах XX в. ,,
Азия и Африка,Общие проблемы,Вторая мировая война в Азии и Африке. ,,
Азия и Африка,Общие проблемы,Деятельность Коминтерна на Востоке в 30–40-е годы XX в. Развитие коммунистического движения в афро-азиатском мире (вторая половина XX в.).  ,,
Иран,Ближний Восток,Иран в первой половине XIX в. Бабидские восстания. ,,
Иран,Ближний Восток,Цели реформ Реза-шаха Пехлеви в Иране (1925–1941 гг.) и их осуществление. ,,
Иран,Ближний Восток,«Белая революция» в Иране и крах шахского режима. Исламская Республика Иран в 80-х годах XX – начале XXI в. ,,
Афганистан,Средняя Азия, Афганистан во второй половине XIX в. и его отношения с Англией.,,
