,index,Локация,Категория,Вопрос,Заполнено,Предлагаемые материалы,Вопросов по локации
0,0,Алжир,Арабская Африка,Захват Алжира Францией. Выступления алжирцев против французских колонизаторов в XIX в. ,,,
1,1,Египет,Арабская Африка,Египет в XVIII – начале ХIX в. и экспедиция Наполеона Бонапарта.,,,
2,2,Египет,Арабская Африка,Реформы Мухаммеда Али в Египте и его внешняя политика.,,,
3,3,Египет,Арабская Африка,Колониальная модернизация Египта в конце XIX – начале XX в.,,,
4,4,Египет,Арабская Африка,Египет в эпоху Г.А. Насера (1952–1970 гг.) и А. Садата (1970–1981 гг.),,,
5,5,Африка,Общеафриканские проблемы,Африканская работорговля и ее значение.,,,
6,6,Африка,Общеафриканские проблемы,Африка накануне колониальных захватов.,,,
7,7,Африка,Общеафриканские проблемы,Империалистический раздел Африки. Методы колониальной эксплуатации в Африке.,,,
8,8,Африка,Общеафриканские проблемы,Основные этапы деколонизации африканского континента. Проблемы Африки в конце XX – начале XXI в.  ,,,
9,9,Вьетнам,Юго-Восточная Азия,Борьба за объединение Вьетнама в 60–70-х годах XX в. ,,,
10,10,Индия,Южная Азия,Европейские Ост-Индские компании и отличительные черты их деятельности.,,,
11,11,Индия,Южная Азия,Раздел Британской Индии и его последствия для геополитической ситуации в Южной Азии.  ,,,
12,12,Индия,Южная Азия,Индия в период колониальных завоеваний (вторая половина XVIII – начало ХIX в.). ,,,
13,13,Индия,Южная Азия,"Сипайское восстание в Индии в 1857–1859 гг., его ход и значение.",,,
14,14,Индия,Южная Азия,Просветительское движение в Индии XIX в. и образование Индийского национального конгресса. ,,,
15,15,Индия,Южная Азия, Трансформация индийского общества и особенности становления капиталистических отношений в Индии во второй половине ХIX в.,,,
16,16,Индия,Южная Азия,Особенности социально-политических движений протеста в Британской Индии в первой половине XX в. Роль М. К. Ганди. ,,,
17,17,Индия,Южная Азия,Особенности политического развития Индии в период становления независимой государственности (50–70-е годы XX в.) ,,,
18,18,Индия,Южная Азия,Основные тенденции политического развития Республики Индия (80-е годы XX – начало XXI в.),,,
19,19,Индия,Южная Азия,Экономическая стратегия Индии в пост-биполярный период и экономические реформы (90-е годы XX – начало XXI в.). ,,,
20,20,Япония,Восточная Азия,Социально-экономическая жизнь Японии в ХVII–XVIII вв. Самурайство и его роль в японском обществе в XVII и XVIII вв.,,,
21,21,Япония,Восточная Азия,«Открытие» Японии и кризис токугавского сёгуната.,,,
22,22,Япония,Восточная Азия,"«Революция Мэйдзи»: исторический смысл, ход событий и их значение. ",,,
23,23,Япония,Восточная Азия,Милитаризация Японии в 30-х годах XX в. Агрессия в Китае.,,,
24,24,Япония,Восточная Азия,Американская оккупация Японии (1945–1952 гг.). Складывание послевоенного японского политического устройства. ,,,
25,25,Япония,Юго-Восточная Азия,Превращение Японии в мировую экономическую державу (60–80-е годы XX в.). Особенности японской модели развития. ,,,
26,26,Китай,Восточная Азия, Русско-китайские отношения в XVII–XVIII вв.,,,
27,27,Китай,Восточная Азия, Китай под маньчжурским владычеством в ХVII–XVIII вв.,,,
